#Borrower_ID,Project_ID,Project_Check_Digit,State_County_FIPS_Code,Project_Name,Main_Address_Line1,Main_Address_Line2,Main_Address_Line3,City,State_Abbreviation,Zip_Code,Household_Count,Over_30_Percent_Income_Count,No_Income_Tenants_Count,Head_of_Household_Female_Count,Elderly_Count,Disabled_COunt,Handicapped_COunt,Ethnicity_Hispanic_Count,Designated_Minors_Count,Race_Code_A_Count,Race_Code_B_Count,Race_Code_I_Count,Race_Code_M_Count,Race_Code_P_Count,Race_Code_W_Count,Race_Code_X_Count,Subsidy_0_Count,Subsidy_1_Count,Subsidy_2_Count,Subsidy_4_Count,Subsidy_5_Count,Subsidy_6_Count,Subsidy_7_Count,Subsidy_8_Count,Annual_Income_Average,Other_Income_Average,Public_Assistant_Income_Average,Social_Security_Income_Average
"210211163","02","2","26103","RIVERVIEW HEIGHTS C/O UPCAP","COUNTY RD LLL","SOUTH REPUBLIC"," ","REPUBLIC","MI","49879",39,0,0,16,11,10,0,0,5,0,2,0,0,0,36,0,0,0,39,0,0,0,0,0,11562.96,193.21,6.00,8736.25
"309727158","01","0","26103","TOWN SQUARE APTS C/O MEDALLION MGMT","429 NORTH 7TH ST."," "," ","ISHPEMING","MI","49869",47,0,0,19,4,11,0,3,9,0,1,0,0,0,46,0,0,47,0,0,0,0,0,0,12781.00,733.00,32.52,4762.55
"137446948","01","9","26103","NEGAUNEE APTS C/O GLD MANAGEMENT","151 RAIL STREET",,,"NEGAUNEE","MI","49866",16,2,0,13,11,5,0,0,0,0,0,0,0,0,16,0,5,8,0,0,0,3,0,0,21262.06,0.00,0.00,20854.69
"453561850","01","6","26103","FORWOOD APTS C/O MEDALLION MGMT","220 WEST IRON",,,"GWINN","MI","49841",35,0,0,25,19,7,0,0,6,0,1,0,0,0,34,0,0,35,0,0,0,0,0,0,13664.97,472.03,101.79,11117.38
"457704443","01","7","26109","PLEASANT ACRES APTS C/O UPCAP","N 15967 & N  16971 U S 41"," "," ","POWERS","MI","49874",34,1,0,19,28,33,0,0,1,0,1,1,0,0,36,0,1,0,33,0,0,0,0,0,13986.48,0.00,0.00,13646.13
"148920849","01","6","26119","PINEVIEW MANOR C/O STRATFORD GRP","500 PINEVIEW COURT"," "," ","HILLMAN","MI","49746",49,0,0,22,18,11,0,0,9,0,0,0,0,0,49,0,5,0,43,0,0,1,0,0,13283.89,1029.00,51.24,9213.62
"003018538","01","9","26119","OAK LEAF MANOR","5215  CO. RD. 612",,,"LEWISTON,","MI","49756",36,5,0,18,13,21,0,0,5,0,0,4,0,0,36,0,10,19,0,0,0,7,0,0,14937.74,711.89,70.22,10712.07
"298578027","01","8","26119","COUNTRY VIEW MANOR","3550 KNEELAND ST",,,"LEWISTON","MI","49756",22,0,1,6,2,5,0,0,10,0,0,0,0,0,25,0,4,18,0,0,0,0,0,0,12588.69,398.77,372.00,6477.69
"313146717","01","2","26129","OGEMAW HILLS APTS C/O GLD MANAGEMENT","102 STATE STREET",,,"WEST BRANCH","MI","48661",48,5,0,18,11,5,0,1,13,1,0,0,0,0,48,0,26,18,0,0,0,4,0,0,18579.67,710.93,33.60,9430.67
"124955905","01","2","26129","HIDDEN CREEK MANOR","5305 GARY C DRIVE",,,"SKIDWAY LAKE","MI","48756",35,6,0,19,16,20,0,0,3,0,0,0,0,0,38,0,12,21,0,0,0,2,0,0,12565.26,430.45,0.00,11518.55
"205890228","01","4","26129","SLEEPY OAKS APTS GLD MGMT CO","201 SHRIGLEY STREET"," "," ","WEST BRANCH","MI","48661",12,3,0,11,9,3,0,0,0,0,0,0,0,0,12,0,4,6,0,0,0,2,0,0,17511.08,1319.00,0.00,16112.58
"028723299","01","3","26129","GRIFFIN PLACE GLD MGMT CO","356 STATE STREET",,,"WEST BRANCH","MI","48661",12,2,0,5,2,6,0,0,0,0,0,1,0,0,11,0,4,8,0,0,0,0,0,0,18306.78,551.33,37.33,11593.78
"340683641","01","1","26129","TOWN & COUNTRY APTS C/O RED OAK MGMT","110 LINTON STREET",,,"ROSE CITY","MI","48654",24,0,0,8,2,4,0,0,7,0,0,0,0,0,25,0,0,24,0,0,0,0,0,0,12227.08,176.00,403.00,5145.67
"286339942","02","2","26131","PLEASANT VIEW APTS. C/O KMG","303 BIRCH ST"," "," ","BERGLAND","MI","49910",16,0,0,5,1,2,0,0,4,0,0,1,0,0,15,0,2,14,0,0,0,0,0,0,10968.78,1150.67,0.00,3126.56
"286339942","03","4","26131","MAPLEWOOD APTS. C/O KMG","MAPLE DRIVE"," "," ","BRUCE CROSSING","MI","49912",15,0,0,9,7,5,0,0,0,1,0,1,0,0,12,0,5,10,0,0,0,0,0,0,17081.92,2009.08,0.00,9612.17
"286339942","04","6","26131","SOUTH FORK APTS. C/O KMG","400 W MAPLE ST"," "," ","EWEN","MI","49925",7,0,0,3,2,2,0,0,1,0,0,0,0,0,7,0,0,6,0,0,0,1,0,0,12816.40,646.40,0.00,4507.20
"149532160","01","9","26131","PINE PARK APTS. C/O KMG PRESTIGE","769 W MAPLE ST",,,"EWEN","MI","49925",12,0,0,8,7,7,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,11867.83,0.00,0.00,11034.17
"474684603","02","2","26135","HORIZON APTS.","1288 GEESEY DRIVE"," "," ","MIO","MI","48647",27,0,0,14,6,13,0,0,1,0,2,0,0,0,25,0,0,27,0,0,0,0,0,0,12259.17,43.33,49.00,7412.46
"189369741","01","1","26135","MAPLE WOOD MANOR","122 MAPLE ST.",,,"MIO","MI","48647",21,0,0,12,12,10,0,1,0,0,0,0,0,0,21,0,0,20,0,0,0,1,0,0,11875.11,185.42,0.00,11673.37
"089397441","01","4","26135","STONE MANOR APT","112 MAPLE ST"," "," ","MIO","MI","48647",19,1,0,14,10,11,0,1,0,0,0,1,0,0,18,0,4,14,0,0,0,1,0,0,14530.67,879.33,0.00,13385.39
"270675418","01","9","26137","LITTLE VILLAGE C/O KMG PRESTIGE","410 S CENTER ST"," "," ","GAYLORD","MI","49735",32,8,0,20,20,15,0,0,0,0,0,0,0,0,32,0,15,13,0,0,0,4,0,0,18382.45,1686.35,0.00,14747.61
"435843477","01","7","26137","HORSELL MANOR APTS C/O KMG PRESTIGE","920 EAST MAIN STREET"," "," ","VANDERBILT","MI","49795",20,0,0,11,9,16,0,0,0,0,0,1,0,0,20,0,1,19,0,0,0,0,0,0,13281.85,149.85,0.00,12603.70
"299814793","01","6","26137","ASPEN APTS C/O KMG PRESTIGE","500 NORTH ST."," "," ","GAYLORD","MI","49735",126,1,0,58,18,40,0,3,34,1,1,2,0,0,128,0,26,93,0,0,0,7,0,0,15545.06,962.90,48.62,7092.71
"280989603","01","1","26141","JAMESTOWN APTS. C/O MEDALLION MGMT","20779 FAIRVIEW STREET"," "," ","ONAWAY,","MI","49765",29,1,0,16,6,9,0,1,7,0,1,0,0,0,28,0,1,26,0,0,0,2,0,0,10385.05,1330.00,58.80,5533.05
"007122655","01","4","26141","HARBOR HOUSE APTS STRATFORD GROUP","150 WENONAH",,,"ROGERS CITY","MI","49779",70,0,1,25,16,20,1,2,22,0,0,1,0,0,72,0,0,0,69,0,0,1,0,0,11584.60,535.50,4.00,8633.10
"024900123","01","8","26141","FIELDSTONE MANOR C/O STRATFORD GRP","6776 STATE STREET",,,"POSEN","MI","49776",25,1,0,14,10,7,0,0,1,0,0,1,0,0,24,0,7,16,0,0,0,2,0,0,14719.82,249.55,0.00,10956.86
"353068771","01","7","26143","SANDHILL MANOR C/O PK HOUSING/MGMT","300 SANDHILL MANOR",,,"HOUGHTON LAKE","MI","48629",87,7,0,45,18,1,23,3,15,0,1,1,0,0,89,4,18,12,44,0,0,13,0,0,12216.42,409.10,0.00,7161.02
"004900626","02","2","26143","RIVER FOREST APTS C/O STRATFORD GRP","249 BALLENGER RD",,,"ROSCOMMON","MI","48653",80,0,0,33,15,13,0,0,21,0,1,0,0,0,79,0,27,53,0,0,0,0,0,0,17306.27,622.37,0.00,6594.73
"260118321","02","3","26143","MAPLE GROVE APTS","50 MAPLE GROVE AVE",,,"PRUDENVILLE","MI","48651",27,1,0,14,17,10,0,0,1,0,0,0,0,0,29,0,9,17,0,0,0,1,0,0,16742.41,144.55,45.82,16475.95
"285667274","01","8","26143","SUMMER PLACE APTS GLD MGMT CO","10045 POWERS COURT"," "," ","ST HELEN","MI","48656",12,1,0,8,7,5,0,0,0,0,0,0,0,0,12,0,2,10,0,0,0,0,0,0,14770.67,565.50,28.00,13268.25
"409679126","01","7","26143","ROSCOMMON APTS C/O RED OAK MGMT","101 HILLTOP LANE",,,"ROSCOMMON","MI","48653",45,2,0,16,1,13,0,0,17,0,1,0,0,0,46,0,0,39,0,4,0,2,0,0,13006.17,586.00,0.00,7157.13
"418639312","01","7","26143","WHISPER RIDGE GLD MGMT CO","100 WHISPER RIDGE DR",,,"ROSCOMMON","MI","48653",25,0,0,17,16,9,0,0,0,0,0,0,0,1,24,0,2,20,0,0,0,3,0,0,13243.42,0.00,42.00,13137.46
"385128107","01","2","26153","WHISPERING WIND APT C/O MEDALLION MGMT","600 CHERRY ST",,,"MANISTIQUE","MI","49854",46,0,0,17,7,13,0,0,8,0,1,9,0,0,38,0,0,46,0,0,0,0,0,0,9814.74,1376.52,70.06,5958.94
"781199727","01","7","16005","SOUTH DOWNEY APT","66 S MAIN ST",,,"DOWNEY","ID","83234",8,0,0,2,4,4,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,10972.25,383.13,0.00,10589.13
"906866839","07","1","16011","CESAR CHAVEZ COLONIA APT","761 WEST  CENTER STREET",,,"BLACKFOOT","ID","83221",84,0,0,18,2,4,0,54,48,0,0,2,0,0,82,0,0,84,0,0,0,0,0,0,15828.30,1552.52,178.43,1238.35
"699183342","01","9","16011","BINGHAM HOUSING","340 LANSING ST",,,"BLACKFOOT","ID","83221",93,0,0,59,74,96,0,3,0,0,0,4,0,3,89,0,22,71,0,0,0,0,0,0,16664.66,76.82,0.00,15192.93
"731417673","01","8","16011","WEST PINE ASSOC","343 W PINE ST",,,"SHELLEY","ID","83274",18,0,0,13,11,9,2,1,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,14134.83,206.83,150.00,13692.78
"668930076","01","7","16011","SUNNYRIDGE APT SYRINGA PROPERTY","1615 CAMAS ST",,,"BLACKFOOT","ID","83221",50,0,0,21,4,10,1,16,21,0,0,4,0,0,49,0,0,50,0,0,0,0,0,0,12191.96,697.27,134.31,4675.81
"544448630","01","8","16023","CIMMARON STATION","632 BUTTE AVE",,,"ARCO","ID","83213",45,0,0,12,2,12,2,0,17,0,1,0,0,0,44,0,0,45,0,0,0,0,0,0,11947.71,1345.54,165.50,7705.63
"954204615","01","7","16029","ELM COURT APT","162 NORTH 100 WEST",,"P.O. BOX 289","GRACE","ID","83241",4,0,0,3,2,2,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,14842.25,159.00,1707.50,9136.50
"847536869","01","8","16029","ALSACE VILLAGE APT","341 SOUTH 1ST EAST",,,"SODA SPRINGS","ID","83276",40,0,0,19,3,4,0,1,15,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,12720.13,514.00,26.50,2036.46
"512154094","01","1","16037","PIONEER COURT APT","357 3RD STREET SOUTH",,,"CHALLIS","ID","83226",16,0,0,7,8,5,0,1,1,0,0,3,0,0,17,0,3,13,0,0,0,0,0,0,14231.08,13.85,369.23,12235.92
"512154094","03","5","16037","HERITAGE COURT APT","525 CEDAR AVE",,,"MACKAY","ID","83251",19,0,0,12,3,5,0,0,4,0,0,0,0,0,19,0,4,15,0,0,0,0,0,0,17786.43,257.14,1200.00,10209.29
"528344591","01","0","16037","REDSTONE APTS","2311 EAST VALLEY ROAD #25",,,"CHALLIS","ID","83226",42,0,0,17,5,4,0,0,18,1,0,0,0,0,41,0,4,38,0,0,0,0,0,0,10441.30,535.96,100.17,4260.22
"656337902","01","4","16051","VILLAGE APTS","1080 EAST 1500 NORTH",,,"MUD LAKE","ID","83450",5,0,0,2,0,0,0,0,2,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,8850.00,0.00,33.33,0.00
"749735432","01","9","16051","TETON VIEW APT","410 ANNIS HIGHWAY",,,"RIGBY","ID","83442",41,0,0,22,27,19,5,0,0,1,0,2,0,0,40,0,0,41,0,0,0,0,0,0,13212.50,221.18,97.20,12129.68
"568269991","03","7","16059","IMPERIAL APARTMENTS","701 IMPERIAL WAY 3C",,,"SALMON","ID","83467",25,0,0,17,15,4,0,0,1,0,1,0,0,0,26,0,0,25,0,0,0,0,0,0,12204.25,140.00,0.00,9568.75
"766823116","01","6","16059","HOMESTEAD APTS.","171 NORTH RAILROAD STREET",,,"LEADORE","ID","83464",7,0,0,3,0,3,0,3,2,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,5829.00,0.00,0.00,4554.00
"629078896","01","5","16059","BITTERROOT PARK APT","310 CATHERINE LANE",,,"SALMON","ID","83467",23,0,0,15,18,8,2,0,0,0,0,1,0,0,22,0,0,23,0,0,0,0,0,0,12900.09,258.52,62.09,12579.26
"758728202","01","4","16065","SOUTH BRENCHLEY APT","350 W. 5TH SOUTH",,,"REXBURG","ID","83440",32,0,0,17,14,14,7,2,0,0,0,1,0,0,31,0,0,32,0,0,0,0,0,0,12125.17,45.20,128.80,11042.30
"886723384","01","1","16065","WEST TISBURY APTS","425 WEST 5TH SOUTH",,,"REXBURG","ID","83440",107,0,0,2,0,3,0,70,46,6,9,0,0,0,92,0,0,107,0,0,0,0,0,0,10460.66,513.44,0.00,665.84
"652968000","01","8","16071","CAREFREE COURT APT","114 E 90 S",,,"MALAD CITY","ID","83252",9,0,0,6,5,6,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,10985.89,0.00,70.67,9964.67
"931964532","01","9","16071","SOUTH SIDE APT","94 E 50 S",,,"MALAD CITY","ID","83252",23,0,0,11,10,10,0,0,3,0,0,0,0,0,25,0,0,23,0,0,0,0,0,0,15480.71,595.59,218.12,13637.59
"906866839","04","6","16077","EL RANCHO GRANDE ESTATES","133 HILLCREST AVE",,,"AMERICAN FALLS","ID","83211",75,0,0,19,1,4,3,47,45,0,0,3,0,0,75,0,9,66,0,0,0,0,0,0,15880.18,2920.91,86.73,3857.14
